family,n,inst,p,ceiling,kind,regret_raw,regret_norm
WS(k=4;b=0.5),14,3,1,0.830932,poly,0.196986,0.000902
WS(k=4;b=0.5),14,3,3,0.914176,exact,0.083529,0.034633
WS(k=4;b=0.5),14,3,3,0.914176,samp10,0.048758,0.077305
WS(k=4;b=0.5),14,3,3,0.914176,poly,0.302863,0.017414
WS(k=4;b=0.5),14,4,1,0.765045,exact,0.033916,0.054255
WS(k=4;b=0.5),14,4,1,0.765045,samp10,0.054387,0.006463
WS(k=4;b=0.5),14,4,1,0.765045,poly,0.178734,0.011581
WS(k=4;b=0.5),14,4,3,0.866448,exact,0.100535,0.115845
WS(k=4;b=0.5),14,4,3,0.866448,samp10,0.077834,0.012444
WS(k=4;b=0.5),14,4,3,0.866448,poly,0.340845,0.046333
WS(k=4;b=0.5),14,5,1,0.835396,exact,0.034983,0.056257
WS(k=4;b=0.5),14,5,1,0.835396,samp10,0.042505,0.00955
WS(k=4;b=0.5),14,5,1,0.835396,poly,0.254442,0.003777
WS(k=4;b=0.5),14,5,3,0.919528,exact,0.083451,0.024241
WS(k=4;b=0.5),14,5,3,0.919528,samp10,0.059538,0.007675
WS(k=4;b=0.5),14,5,3,0.919528,poly,0.272269,0.019399
3-regular,14,1,1,0.836595,exact,0.042029,0.045848
3-regular,14,1,1,0.836595,samp10,0.042029,0.006785
3-regular,14,1,1,0.836595,poly,0.227985,0.00586
3-regular,14,1,3,0.920341,exact,0.066309,0.045612
3-regular,14,1,3,0.920341,samp10,0.060116,0.021595
3-regular,14,1,3,0.920341,poly,0.341512,0.016157
3-regular,14,2,1,0.75612,exact,0.04206,0.066741
3-regular,14,2,1,0.75612,samp10,0.022026,0.020217
3-regular,14,2,1,0.75612,poly,0.081651,0.013296
3-regular,14,2,3,0.869413,exact,0.093631,0.058222
3-regular,14,2,3,0.869413,samp10,0.077171,0.066672
3-regular,14,2,3,0.869413,poly,0.303824,0.083206
3-regular,14,3,1,0.782108,exact,0.034991,0.04761
3-regular,14,3,1,0.782108,samp10,0.044442,0.005412
3-regular,14,3,1,0.782108,poly,0.198775,0.0
3-regular,14,3,3,0.880845,exact,0.098328,0.050646
3-regular,14,3,3,0.880845,samp10,0.074622,0.039176
3-regular,14,3,3,0.880845,poly,0.296626,0.039176
3-regular,14,4,1,0.790117,exact,0.039694,0.043301
3-regular,14,4,1,0.790117,samp10,0.024206,0.011593
3-regular,14,4,1,0.790117,poly,0.055446,0.005535
3-regular,14,4,3,0.887711,exact,0.099412,0.064632
3-regular,14,4,3,0.887711,samp10,0.071005,0.014102
3-regular,14,4,3,0.887711,poly,0.178864,0.027543
3-regular,14,5,1,0.828114,exact,0.037049,0.061086
3-regular,14,5,1,0.828114,samp10,0.026078,0.015102
3-regular,14,5,1,0.828114,poly,0.249107,0.003089
3-regular,14,5,3,0.912329,exact,0.08399,0.055819
3-regular,14,5,3,0.912329,samp10,0.065825,0.005625
3-regular,14,5,3,0.912329,poly,0.29242,0.020805
