family,n,instance,seed,ramp,g1,gf,b1,bf,layer,leakage,cum_leakage,distance,overlap,compressed_norm
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,13,0.05032183636906764,0.2671520176785662,0.11868055583752309,0.9890288943880107,0.996056493761828
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,14,0.05064285112875051,0.3177948688073167,0.13020212892060998,0.9863262469550654,0.9947682345122694
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,15,0.047151173817966026,0.36494604262528274,0.13827566297446492,0.9841483619775678,0.9936501432608184
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,16,0.04499698788351999,0.4099430305088027,0.14636174407194816,0.9820071855232756,0.9926307864879339
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,17,0.0492731886064737,0.45921621911527644,0.15557205811660021,0.9794442314497334,0.9914070965895918
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,18,0.05972812269406731,0.5189443418093438,0.16524040670244627,0.9762035017728725,0.9896062765199345
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,19,0.07230369323282623,0.59124803504217,0.17532970556080849,0.9720731917928165,0.9869613763833626
3-regular,12,5,20331817,small,0.1,0.4,0.4,0.1,20,0.0835064006571599,0.6747544356993299,0.18706794023794576,0.9668445536135867,0.9834223098556532
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,1,0.00643783288007292,0.00643783288007292,0.00643783288007292,0.9999585543077998,0.9999792769391831
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,2,0.015778692285806185,0.022216525165879103,0.02086062954421924,0.9996372111690867,0.9998547830448
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,3,0.013336985009470588,0.0355535101753497,0.031130209314792188,0.9992813208646909,0.9997658285860855
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,4,0.002943651561692982,0.03849716173704268,0.03288431205071737,0.9992208457172385,0.9997614950196394
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,5,0.010658816152707683,0.04915597788975036,0.03642558611106682,0.9990413130376863,0.999704674672539
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,6,0.02202651093622705,0.07118248882597741,0.053796028282352124,0.9980151836626284,0.99946198996165
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,7,0.026598754350363626,0.09778124317634104,0.07401444478005223,0.9963693278567308,0.9991079899816192
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,8,0.0192689680219296,0.11705021119827065,0.08319528322377988,0.9954624767361243,0.9989221603891268
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,9,0.006459452760058661,0.12350966395832931,0.08037571343252448,0.9956723714111161,0.9989012753953832
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,10,0.020312098361210413,0.14382176231953972,0.07832255016314324,0.995628431093916,0.9986947364668969
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,11,0.0370910985062892,0.18091286082582891,0.09209701229009233,0.993766820539505,0.9980057249626774
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,12,0.047272056057200196,0.2281849168830291,0.11505936340827007,0.9902713061123153,0.996885539956522
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,13,0.04872856909647477,0.27691348597950394,0.13269442951128968,0.986904188251389,0.995693881837292
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,14,0.042920416257196364,0.3198339022367003,0.13986630538304867,0.9850165220058478,0.9947683872120814
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,15,0.03649058999201001,0.35632449222871027,0.14073315067491213,0.9842386960596834,0.9940988789041849
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,16,0.03986428408761308,0.3961887763163233,0.14399989969943625,0.9829897282841853,0.9932992599880154
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,17,0.053708025316278336,0.44989680163260165,0.15473655509390366,0.9799787589164609,0.9918461916594548
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,18,0.07033202781333,0.5202288294459316,0.170593393283027,0.975040873964322,0.9893494194535253
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,19,0.08503990312288592,0.6052687325688175,0.18759300309056504,0.9686711286479446,0.9856878251504765
3-regular,14,5,20332017,small,0.1,0.4,0.4,0.1,20,0.0959740614558479,0.7012427940246654,0.20538638146556631,0.9611347272801002,0.9810043160850757
3-regular,16,5,20332217,small,0.1,0.4,0.4,0.1,1,0.007406420415904861,0.007406420415904861,0.007406420415904861,0.999945144936626,0.9999725720921667
